is enjoyed	0.40803108	95
lover	0.40833178	97
binds	0.40835738	97
were located	0.40841776	86
sculptor	0.4084501	99
exchanged	0.4084936	93
run to	0.4085516	96
thus	0.40870792	94
thus	0.40870792	94
photos	0.40880293	98
among them	0.4088482	97
romance	0.40885866	94
romance	0.40885866	94
romance	0.40885866	94
most known	0.4089122	97
more recent	0.40894294	100
loses	0.40898815	99
owned	0.40905654	92
believed to be	0.4091056	100
discovered	0.40914887	99
discovered	0.40914887	99
discovered	0.40914887	99
to function	0.40915984	98
homicides	0.40918878	95
kunstlich	0.40925416	100
be based	0.4092924	97
curing	0.40940702	97
limitation	0.40954036	98
require	0.4095583	93
require	0.4095583	93
to capitulate	0.40983218	100
transferred	0.40999788	97
miscellaneous	0.4102523	94
kill	0.4104017	90
kill	0.4104017	90
kill	0.4104017	90
resemble	0.41041276	100
quite	0.4104428	97
initially	0.41045475	97
initially	0.41045475	97
initially	0.41045475	97
to us	0.41055745	97
least one	0.41061577	97
disappeared	0.4106608	98
disappeared	0.4106608	98
free time	0.41077715	96
strengthened	0.41077733	96
national referendum	0.41079774	95
portugal´s	0.41082886	97
leaned on	0.4109102	100
formerly	0.41092914	97
formerly	0.41092914	97
controverse	0.41093224	94
controverse	0.41093224	94
controverse	0.41093224	94
dangerous	0.41094768	93
dangerous	0.41094768	93
hd	0.41115376	91
guest appearances	0.4116475	97
to the point of	0.41183382	94
recently	0.41191977	94
complications	0.41206855	97
appeared	0.41222948	97
appeared	0.41222948	97
appeared	0.41222948	97
appeared	0.41222948	97
appeared	0.41222948	97
immediate	0.41226044	96
second largest	0.41229802	96
grows	0.4125305	98
compassionate	0.4125529	97
deadly	0.41255704	95
occasion	0.4125901	94
stepped	0.41259354	95
both	0.41265914	95
both	0.41265914	95
both	0.41265914	95
both	0.41265914	95
both	0.41265914	95
at it	0.4127072	97
recorded	0.41277128	93
to banish so	0.41287225	98
resembles	0.41289788	98
put on	0.41290092	95
threatened	0.41292992	95
threatened	0.41292992	95
threatened	0.41292992	95
discussed	0.41302356	98
discussed	0.41302356	98
studied	0.4130357	98
studied	0.4130357	98
folk music	0.41310143	99
strengthen	0.41312742	97
witnesses	0.41333622	98
witnesses	0.41333622	98
landed	0.41367158	98
in view of	0.41368464	98
newest	0.41387814	95
newest	0.41387814	95
helps	0.4139235	98
living beings	0.41392878	94
third biggest	0.4139351	95
the same	0.41399342	97
the same	0.41399342	97
the same	0.41399342	97
the same	0.41399342	97
the same	0.41399342	97
the same	0.41399342	97
the same	0.41399342	97
the same	0.41399342	97
loves	0.4140975	95
establish	0.41411635	94
establish	0.41411635	94
establish	0.41411635	94
outgoing	0.41419664	97
coming into power	0.41423494	99
all	0.41425252	88
all	0.41425252	88
all	0.41425252	88
all	0.41425252	88
all	0.41425252	88
all	0.41425252	88
all	0.41425252	88
salary	0.41433126	95
questionable	0.4143653	92
lowest	0.41437507	98
lowest	0.41437507	98
mostly	0.41438052	93
mostly	0.41438052	93
mostly	0.41438052	93
mostly	0.41438052	93
mostly	0.41438052	93
mostly	0.41438052	93
typical	0.4144792	94
typical	0.4144792	94
typical	0.4144792	94
typical	0.4144792	94
typical	0.4144792	94
together with	0.41453457	100
relatively	0.41468453	98
belong to	0.414737	97
fourth	0.414869	92
fourth	0.414869	92
bad luck	0.41488367	96
poorness	0.41496003	99
be in constant development	0.41507867	93
appealing	0.41511	94
that's why	0.41524607	96
treachery	0.4153659	100
suitable	0.41556013	97
enforcement	0.41585824	94
enforcement	0.41585824	94
introduced	0.4158726	100
introduced	0.4158726	100
to thrive on	0.41589013	95
rites	0.41589415	96
death	0.4159181	91
death	0.4159181	91
death	0.4159181	91
preferably	0.41594273	95
in front	0.41598028	97
in front	0.41598028	97
reader	0.41606265	96
to each other	0.41609007	99
miniature	0.41611564	97
miniature	0.41611564	97
miniature	0.41611564	97
heroes -- shouldnt translate proper name here	0.41619685	97
went	0.41620108	97
went	0.41620108	97
depiction	0.41630024	96
consumed	0.4163956	99
consumed	0.4163956	99
are flowing	0.41649085	97
god	0.41650003	93
god	0.41650003	93
god	0.41650003	93
god	0.41650003	93
erotic	0.41676208	98
trip	0.41683155	96
represent	0.41684508	92
represent	0.41684508	92
inevitably	0.41687822	92
until now	0.4170675	97
between	0.41718307	93
presence	0.41719002	99
presence	0.41719002	99
combating	0.41722065	98
contribute	0.41723865	96
motion	0.41727525	90
desired	0.41734096	99
desired	0.41734096	99
instead of	0.4175821	99
beating	0.4177302	95
discontent	0.41783214	97
found	0.417933	96
found	0.417933	96
found	0.417933	96
pop music	0.41795927	91
at least	0.4179838	95
at least	0.4179838	95
at least	0.4179838	95
at least	0.4179838	95
prophets	0.41800597	97
long	0.41809165	94
long	0.41809165	94
long	0.41809165	94
long	0.41809165	94
instead	0.41812235	98
instead	0.41812235	98
instead	0.41812235	98
cuban	0.4182529	99
cuban	0.4182529	99
peacefully	0.4182587	99
on the occasion of	0.41831437	95
goddess-to	0.41850942	99
pension insurance	0.41851744	98
producers	0.41851994	99
catholic	0.41855422	96
catholic	0.41855422	96
catholic	0.41855422	96
detect	0.4186286	97
energies	0.41874307	100
sufficient	0.418976	98
sufficient	0.418976	98
installation	0.4189881	96
hearted	0.41906667	95
affected	0.41907853	98
affected	0.41907853	98
affected	0.41907853	98
affected	0.41907853	98
affected	0.41907853	98
murder	0.41908628	97
ultimately	0.4191996	98
de facto	0.41942915	95
particularly	0.4194333	98
attacks	0.41944325	98
attacks	0.41944325	98
attacks	0.41944325	98
attacks	0.41944325	98
attacks	0.41944325	98
single uncoupling	0.41960317	94
be suggestive of	0.41966733	95
at the moment	0.41970116	97
operate	0.41973376	95
surviving	0.41977733	99
precursor	0.41986358	99
extinction	0.41991836	99
hallucinations	0.41997132	85
given up	0.42009106	95
observation	0.42012954	97
observation	0.42012954	97
directed	0.42020044	95
upper	0.42022377	97
upper	0.42022377	97
upper	0.42022377	97
upper	0.42022377	97
upper	0.42022377	97
sustained	0.4203258	97
sustained	0.4203258	97
sustained	0.4203258	97
todesfalle	0.42040473	98
a	0.4204862	96
a	0.4204862	96
a	0.4204862	96
a	0.4204862	96
a	0.4204862	96
campe	0.42054376	93
broadcasted	0.4206768	99
successor	0.4207252	99
focal point	0.42079556	100
opposing	0.42091984	98
bad	0.42092997	98
bad	0.42092997	98
bad	0.42092997	98
bad	0.42092997	98
sieving	0.42103627	94
most favourite	0.4210458	95
fits	0.4210705	95
confined	0.4211103	99
trades	0.42129356	99
to refer to	0.42135096	98
put together	0.4213786	99
found out	0.42138326	99
tod	0.42145544	96
observations	0.42156345	98
take place	0.4216465	99
considered part of	0.42169422	100
externally	0.42175084	99
extern	0.4218156	94
travelled	0.42186922	98
captivity	0.4218701	96
literary	0.42197925	97
literary	0.42197925	97
the 14th	0.42205748	99
embodies	0.42212182	98
adjudged	0.4221807	99
willy	0.4222579	94
threat	0.4222889	95
threat	0.4222889	95
self	0.42228907	97
practiced	0.42231548	98
experienced	0.42234254	99
experienced	0.42234254	99
experienced	0.42234254	99
attempt	0.4224011	98
in turn	0.42247403	94
remains	0.4225062	96
remains	0.4225062	96
remains	0.4225062	96
exclusively	0.42261797	95
to maintain	0.42270947	96
affects	0.42271003	97
affects	0.42271003	97
affects	0.42271003	97
cultural history	0.4227521	98
mythology	0.42279238	98
firm	0.42279598	98
firm	0.42279598	98
punished	0.42290676	99
movie	0.42298934	89
movie	0.42298934	89
movie	0.42298934	89
during which	0.42303085	98
exist	0.42307523	94
exist	0.42307523	94
exist	0.42307523	94
hlo	0.42323378	90
environmentalism	0.42327195	98
diplomatic	0.42331982	94
diplomatic	0.42331982	94
dealings	0.423403	97
dealings	0.423403	97
immediately	0.4234364	94
immediately	0.4234364	94
immediately	0.4234364	94
part	0.42346144	97
part	0.42346144	97
part	0.42346144	97
part	0.42346144	97
part	0.42346144	97
demonstrate	0.4234989	98
category state	0.42361113	95
dedicate	0.4238975	96
recognize	0.4240703	93
recognize	0.4240703	93
still	0.424127	97
commercials	0.42428005	100
cleave	0.42433134	93
against each other	0.4243378	100
replaces	0.4243543	97
formed	0.42439574	95
formed	0.42439574	95
authorities	0.42447886	97
coordinated	0.42449328	95
emergence	0.42459178	99
is due	0.42466673	98
judged	0.42486537	99
analyzed	0.42497715	100
full of	0.42499202	97
assist	0.4249958	93
overview	0.42505002	94
no way	0.42511335	92
sed	0.4251294	95
meanwhle	0.42514443	97
arrived	0.42516685	96
powers	0.42518696	94
powers	0.42518696	94
powers	0.42518696	94
powers	0.42518696	94
outdated	0.42527425	96
takes	0.42528135	96
on the part of	0.42532954	98
tattooing	0.42539632	96
made	0.42542183	92
made	0.42542183	92
made	0.42542183	92
made	0.42542183	92
made	0.42542183	92
dominated	0.4254407	96
dominated	0.4254407	96
dominated	0.4254407	96
protected	0.4254839	98
protected	0.4254839	98
owe	0.42549348	94
